,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
1003,1003,6469fb83b1064f9440f704df,https://www.foody.vn/ha-noi/bep-sumo-sua-chua-caramen-tran-chau-sua-hat-shop-online/binh-luan-9560644,"Bếp Sumo - Sữa Chua Caramen Trân Châu & Sữa Hạt - Shop Online ở Quận Đống Đa, Hà Nội | Bình luận - Caramen và sữa chua tự làm vị thanh thanh chua chua","30 Tôn Đức Thắng, P. Cát Linh Quận Đống Đa Hà Nội",10:00,15:00 | 17:00 ,10.000đ ,60.000,['https://images.foody.vn/res/g105/1044709/prof/s576x330/foody-upload-api-foody-mobile-10-200831092641.jpg'],['8.0'],['10.0'],['10.0'],['10.0'],['10.0'],1,0,0,0,9.6,Bếp Sumo - Sữa Chua 
1006,1006,6469fb83b1064f9440f704e2,https://www.foody.vn/ha-noi/banh-tom-ho-tay/binh-luan-16533685,"Nhà Hàng Bánh Tôm Hồ Tây - Đặc Sản Thăng Long ở Quận Tây Hồ, Hà Nội | Bình luận - Làm ăn bố láo thì tẩy chay thôi | Long Ka | Foody.vn","1 Thanh Niên, P. Yên Phụ (Đối Diện Chùa Trấn Quốc) Quận Tây Hồ Hà Nội",09:00,21:00,80.000đ ,132.000,['https://images.foody.vn/res/g1/27/prof/s576x330/foody-mobile-hmb-f-jpg-158-635779248871052800.jpg'],['4.8'],['5.4'],['6.5'],['5.1'],['7.2'],2,65,43,45,5.8,Nhà Hàng Bánh Tôm Hồ
1007,1007,6469fb83b1064f9440f704e3,https://www.foody.vn/ha-noi/kim-oanh-caramen-che-thap-cam/binh-luan-2297622,"Kim Oanh - Caramen & Chè Thập Cẩm ở Quận Cầu Giấy, Hà Nội | Bình luận - Kim Oanh - Caramen & Chè Thập Cẩm | Hanhie | Foody.vn","21 Ngách 37/2 Dịch Vọng, P. Dịch Vọng Quận Cầu Giấy Hà Nội",10:00,22:00,15.000đ ,20.000,['https://images.foody.vn/res/g64/634857/prof/s576x330/foody-mobile-che-ko-jpg-289-636231960690121856.jpg'],['6.4'],['7.0'],['7.7'],['6.8'],['7.9'],2,14,8,1,7.1,Kim Oanh - Caramen &
1010,1010,6469fb83b1064f9440f704e6,https://www.foody.vn/ha-noi/chao-mi-tim-hang-giay/binh-luan-2511997,"Cháo & Mì Tim - Hàng Giấy ở Quận Hoàn Kiếm, Hà Nội | Bình luận - Cháo & Mì Tim - Hàng Giấy | Anh Huy | Foody.vn","50 Hàng Giấy, P. Hàng Mã Quận Hoàn Kiếm Hà Nội",18:00,23:30,25.000đ ,44.000,['https://images.foody.vn/res/g3/28621/prof/s576x330/foody-mobile-mi-tim-jpg-831-636130794136043991.jpg'],['5.6'],['6.6'],['7.1'],['6.1'],['7.4'],0,10,3,3,6.6,Cháo & Mì Tim - Hàng
1012,1012,6469fb83b1064f9440f704e8,https://www.foody.vn/ha-noi/thai-village-le-thai-to,"Nhà hàng Thai Village - Vi Cá Thái đường Lê Thái Tổ ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","3B Lê Thái Tổ, P. Hàng Trống Quận Hoàn Kiếm Hà Nội",10:00,22:00,150.000đ ,220.000,['https://images.foody.vn/res/g1/8714/prof/s576x330/foody-mobile-thai-village-le-thai-to-ha-noi.jpg'],['6.7'],['8.3'],['8.7'],['7.3'],['9.0'],1,2,0,0,8.0,Nhà hàng Thai Villag
1013,1013,6469fb83b1064f9440f704e9,https://www.foody.vn/ha-noi/loan-bun-ca-mien-luon-banh-gio/binh-luan-17562948,"Loan - Bún Cá, Miến Lươn, Bánh Giò ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Loan - Bún Cá, Miến Lươn, Bánh Giò | foodee_ea9467c3 | Foody.vn",107 Trương Định Quận Hai Bà Trưng Hà Nội,06:00,21:30,20.000đ ,33.000,['https://images.foody.vn/res/g4/30800/prof/s576x330/foody-mobile-loan-bun-ca-mien-luon-banh-gio-ha-noi.jpg'],['6.8'],['8.0'],['8.5'],['7.8'],['8.8'],1,2,1,0,8.0,"Loan - Bún Cá, Miến "
1047,1047,6469fb83b1064f9440f7050b,https://www.foody.vn/ha-noi/ngon-bun-bo-nam-bo-pho-cuon-che-caramen/binh-luan-7345974,"Ngon - Bún Bò Nam Bộ, Phở Cuốn & Chè, Caramen ở Quận Ba Đình, Hà Nội | Bình luận - Ngon | linhshinichi146 | Foody.vn","101 H3 Thành Công, P. Thành Công Quận Ba Đình Hà Nội",09:00,20:00,8.000đ ,30.000,['https://images.foody.vn/res/g71/703818/prof/s576x330/image-ece6dba1-200910115818.jpeg'],['6.6'],['7.0'],['7.2'],['6.8'],['7.3'],5,7,9,3,7.0,Ngon - Bún Bò Nam Bộ
1048,1048,6469fb83b1064f9440f7050c,https://www.foody.vn/ha-noi/kem-xoi-che-thai-lan-tran-quoc-hoan/binh-luan-6347273,"Kem Xôi & Chè Thái Lan - Trần Quốc Hoàn ở Quận Cầu Giấy, Hà Nội | Bình luận - OK | Anh Trúc | Foody.vn","47 Trần Quốc Hoàn, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",09:30,22:00,20.000đ ,100.000,['https://images.foody.vn/res/g9/84139/prof/s576x330/foody-mobile-kem-xoi-che-thai-lan-tran-quoc-hoan-ha-noi-140702113743.jpg'],['5.9'],['6.2'],['6.8'],['6.2'],['7.1'],1,16,16,3,6.4,Kem Xôi & Chè Thái L
1049,1049,6469fb83b1064f9440f7050d,https://www.foody.vn/ha-noi/caramello-caramen-do-an-vat-tran-huy-lieu/binh-luan-4131449,"Caramello - Caramen & Đồ Ăn Vặt - Trần Huy Liệu ở Quận Ba Đình, Hà Nội | Bình luận - Caramello - Caramen & Đồ Ăn Vặt -*** | Phương Anh Nguyễn | Foody","106D1 Trần Huy Liệu, P. Giảng Võ Quận Ba Đình Hà Nội",09:30,22:00,12.000đ ,70.000,['https://images.foody.vn/res/g75/748176/prof/s576x330/file_restaurant_photo_sk9m_16430-be0e0866-220124154118.jpg'],['5.7'],['6.1'],['6.4'],['5.9'],['7.0'],1,4,2,2,6.2,Caramello - Caramen 
1050,1050,6469fb83b1064f9440f7050e,https://www.foody.vn/ha-noi/kem-caramen-hang-than/binh-luan-6795592,"Kem Dừa Hàng Than ở Quận Ba Đình, Hà Nội | Bình luận - Quán này nhân viên bị làm sao ấy nhở | Thu Thủy | Foody.vn",29 Hàng Than Quận Ba Đình Hà Nội,10:00,23:00,10.000đ ,28.000,[],['6.4'],['7.1'],['7.1'],['6.6'],['7.8'],12,218,85,24,7.0,Kem Dừa Hàng Than ở 
1054,1054,6469fb83b1064f9440f70512,https://www.foody.vn/ha-noi/hat-de-cuoi-fastfood-drink/binh-luan-2786614,"Hạt Dẻ Cười Fastfood & Drink ở Quận Cầu Giấy, Hà Nội | Bình luận - Hạt Dẻ Cười Fastfood & Drink | Thạch Thảo | Foody.vn","A13 Ngõ 100 Trung Kính, P, Yên Hòa Quận Cầu Giấy Hà Nội",10:00,22:30,10.000đ ,50.000,[],['7.0'],['7.7'],['7.8'],['7.3'],['8.2'],1,14,3,0,7.6,Hạt Dẻ Cười Fastfood
1055,1055,6469fb83b1064f9440f70513,https://www.foody.vn/ha-noi/kem-new-zealand-ly-thuong-kiet/binh-luan-2662064,"Kem New Zealand - Lý Thường Kiệt ở Quận Hoàn Kiếm, Hà Nội | Bình luận - Kem New Zealand - Lý Thường Kiệt | Hoang Percy Lê | Foody.vn",39 Lý Thường Kiệt Quận Hoàn Kiếm Hà Nội,08:00,22:00,35.000đ ,66.000,['https://images.foody.vn/res/g2/14124/prof/s576x330/foody-mobile-kw3-jpg-781-635749738834559863.jpg'],['7.0'],['7.2'],['7.7'],['7.2'],['7.8'],1,40,13,1,7.3,Kem New Zealand - Lý
1056,1056,6469fb83b1064f9440f70514,https://www.foody.vn/ha-noi/royaltea-tra-sua-hong-kong-ho-tung-mau/binh-luan-8008218,"Royaltea - Trà Sữa Hồng Kông - Hồ Tùng Mậu ở Quận Cầu Giấy, Hà Nội | Bình luận - Royaltea - Trà Sữa Hồng Kông -*** | Nhung Nh | Foody.vn","8 Ng. 66 Đ. Hồ Tùng Mậu, P. Mai Dịch Quận Cầu Giấy Hà Nội",07:30,22:30,25.000đ ,65.000,['https://images.foody.vn/res/g68/673171/prof/s576x330/foody-mobile-459-jpg-753-636352832676344576.jpg'],['5.6'],['5.9'],['6.0'],['5.7'],['6.7'],2,13,11,14,6.0,Royaltea - Trà Sữa H
1057,1057,6469fb83b1064f9440f70515,https://www.foody.vn/ha-noi/funny-monkey-o-long-hanh-phuc-kim-ma/binh-luan-3740474,"Funny Monkey - Ô Long Hạnh Phúc - Kim Mã ở Quận Ba Đình, Hà Nội | Bình luận - Funny Monkey - Chè & Mẹt Ăn Vặt - Đội Cấn | Hương Hương | Foody.vn","291 Kim Mã, P. Giảng Võ Quận Ba Đình Hà Nội",07:00,22:30,15.000đ ,50.000,[],['6.1'],['6.3'],['6.7'],['6.2'],['7.1'],1,22,9,7,6.5,Funny Monkey - Ô Lon
1072,1072,6469fb83b1064f9440f70524,https://www.foody.vn/ha-noi/tiem-banh-changgi/binh-luan-9204053,"Tiệm Bánh Changgi ở Quận Thanh Xuân, Hà Nội | Bình luận - Tiệm Bánh Changgi | Anh Vũ | Foody.vn","102A1 Nguyễn Quý Đức, P. Thanh Xuân Bắc Quận Thanh Xuân Hà Nội",07:00,19:00,8.000đ ,60.000,['https://images.foody.vn/res/g105/1041942/prof/s576x330/file_restaurant_photo_i4h7_16046-4a8a1572-201106134958.jpeg'],['8.0'],['9.0'],['10.0'],['9.0'],['10.0'],1,0,0,0,9.2,Tiệm Bánh Changgi ở 
1100,1100,6469fb83b1064f9440f70540,https://www.foody.vn/ha-noi/kfc-ba-trieu/binh-luan-17178865,"Gà Rán KFC - Bà Triệu ở Quận Hai Bà Trưng, Hà Nội | Bình luận - Gà Rán KFC -*** | Hoà | Foody.vn",292 Bà Triệu Quận Hai Bà Trưng Hà Nội,09:00,22:00,50.000đ ,110.000,['https://images.foody.vn/res/g1/6207/prof/s576x330/image-0cadfc15-220812160711.jpg'],['7.0'],['7.1'],['7.4'],['7.0'],['7.5'],2,61,11,5,7.2,Gà Rán KFC - Bà Triệ
1101,1101,6469fb83b1064f9440f70541,https://www.foody.vn/ha-noi/co-phuong-beo-banh-mi-chao-banh-mi-sot-vang/binh-luan-3043051,"Cô Phương Béo - Bánh Mì Chảo, Bánh Mì Sốt Vang ở Quận Long Biên, Hà Nội | Bình luận - Cô Phương Béo - Bánh Mì Chảo, Bánh Mì Sốt Vang | ngoc diep | Foo",164 Ngọc Lâm Quận Long Biên Hà Nội,10:00,22:30,10.000đ ,60.000,['https://images.foody.vn/res/g13/121792/prof/s576x330/foody-mobile-cobeo-jpg-520-636160135510005637.jpg'],['6.0'],['7.0'],['7.6'],['6.5'],['7.8'],1,1,6,0,7.0,Cô Phương Béo - Bánh
1102,1102,6469fb83b1064f9440f70542,https://www.foody.vn/ha-noi/ga-ran-kfc-bigc-ha-noi/binh-luan-14513435,"Gà Rán KFC - BigC Hà Nội ở Quận Cầu Giấy, Hà Nội | Bình luận - Gà Rán KFC - BigC Hà Nội | Viet Anh Tran | Foody.vn","222 Trần Duy Hưng, P. Trung Hòa Quận Cầu Giấy Hà Nội",09:00,22:00,30.000đ ,88.000,['https://images.foody.vn/res/g1/3361/prof/s576x330/image-b8811ef1-220812160706.jpg'],['6.4'],['6.7'],['7.1'],['6.4'],['7.1'],0,23,11,5,6.7,Gà Rán KFC - BigC Hà
1103,1103,6469fb83b1064f9440f70543,https://www.foody.vn/ha-noi/corner-pizza-tan-mai/binh-luan-3027351,"Corner Pizza - Tân Mai ở Quận Hoàng Mai, Hà Nội | Bình luận - Corner Pizza - Tân Mai | foodee_uakykkte | Foody.vn","176 Tân Mai, P. Tân Mai Quận Hoàng Mai Hà Nội",07:30,22:00,50.000đ ,165.000,['https://images.foody.vn/res/g2/17663/prof/s576x330/foody-mobile-banh-jpg-764-636023771421437063.jpg'],['5.5'],['5.7'],['6.0'],['5.6'],['6.0'],0,10,7,7,5.8,Corner Pizza - Tân M
1104,1104,6469fb83b1064f9440f70544,https://www.foody.vn/ha-noi/take-eat-easy-ice-cream-cafe/binh-luan-11304606,"Take Eat Easy Ice Cream & Cafe ở Quận Hoàn Kiếm, Hà Nội | Bình luận - Bánh khá ngon | Thuy Linh Thai | Foody.vn","18B Nhà Thờ, P. Hàng Trống Quận Hoàn Kiếm Hà Nội",08:00,23:00,30.000đ ,60.000,[],['6.8'],['7.7'],['7.8'],['7.0'],['7.9'],12,105,27,6,7.4,Take Eat Easy Ice Cr
1105,1105,6469fb83b1064f9440f70545,https://www.foody.vn/ha-noi/starbucks-coffee-vincom-center-pham-ngoc-thach/binh-luan-10442712,"Starbucks Coffee - Phạm Ngọc Thạch ở Quận Đống Đa, Hà Nội | Bình luận - Starbucks | Sâu Béo | Foody.vn","Tầng 1, Vincom Center Phạm Ngọc Thạch, 2 Phạm Ngọc Thạch, P. Kim Liên Quận Đống Đa Hà Nội",08:00,23:00,30.000đ ,80.000,[],['6.6'],['7.9'],['8.2'],['7.7'],['8.4'],16,63,10,5,7.7,Starbucks Coffee - P
1106,1106,6469fb83b1064f9440f70546,https://www.foody.vn/ha-noi/bit-tet-au-beefsteak-kieu-au-gia-viet/binh-luan-3017194,"Bít Tết Âu Việt - Giá Việt ở Quận Cầu Giấy, Hà Nội | Bình luận - Không quay lại | foodee_34233ab5 | Foody.vn","229 Nguyễn Khang, P. Yên Hòa Quận Cầu Giấy Hà Nội",09:30,14:00 | 16:30 ,71.000đ ,149.000,[],['6.5'],['6.6'],['6.6'],['6.5'],['6.6'],2,35,27,10,6.5,Bít Tết Âu Việt - Gi
1108,1108,6469fb83b1064f9440f70548,https://www.foody.vn/ha-noi/feeling-tea-high-indochina-plaza/binh-luan-10843267,"Feeling Tea High - Indochina Plaza ở Quận Cầu Giấy, Hà Nội | Bình luận - COFFEE | Bạch Tuyết | Foody.vn","Tầng 3 Indochina Plaza, Xuân Thuỷ, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",09:00,23:00,25.000đ ,45.000,['https://images.foody.vn/res/g22/217409/prof/s576x330/foody-mobile-feeling640-jpg-234-635936337691629128.jpg'],['6.8'],['7.5'],['7.9'],['6.9'],['8.4'],0,30,3,0,7.5,Feeling Tea High - I
1110,1110,6469fb83b1064f9440f7054a,https://www.foody.vn/ha-noi/lotteria-tran-thai-tong/binh-luan-6669593,"Lotteria - Trần Thái Tông ở Quận Cầu Giấy, Hà Nội | Bình luận - Rất thất vọng về thái độ nhân viên của cơ sở*** | lanlan Hoàng | Foody.vn","Lô C - ô D5 - Trần Thái Tông, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",07:30,22:30,30.000đ ,88.000,['https://images.foody.vn/res/g4/35900/prof/s576x330/image-66106797-210614102958.jpeg'],['6.2'],['6.5'],['7.2'],['6.3'],['7.2'],2,33,7,8,6.7,Lotteria - Trần Thái
1113,1113,6469fb83b1064f9440f7054d,https://www.foody.vn/ha-noi/trung-thanh-bit-tet-banh-mi-chao-tran-dang-ninh/binh-luan-9618144,"Trung Thành - Bít Tết & Bánh Mì Chảo - Trần Đăng Ninh ở Quận Cầu Giấy, Hà Nội | Bình luận - Thái độ phục vụ nhân viên cực kì tệ hại | Kiều Oanh | Food","221 Trần Đăng Ninh, P. Dịch Vọng Quận Cầu Giấy Hà Nội",09:00,22:30,35.000đ ,70.000,['https://images.foody.vn/res/g9/88041/prof/s576x330/foody-mobile-trung-thanh-banh-mi--330-635804306322228693.jpg'],['5.4'],['5.9'],['6.3'],['5.7'],['6.5'],0,9,7,7,5.9,Trung Thành - Bít Tế
1139,1139,6469fb83b1064f9440f70567,https://www.foody.vn/ha-noi/tiem-1992-foods-drinks/binh-luan-14134964,"Tiệm 1992 - Foods & Drinks ở Quận Thanh Xuân, Hà Nội | Bình luận - Tiệm 1992 - Foods & Drinks | Yen Ho Quach | Foody.vn","Số 5 Ngõ A8 Tập Thể Đại Học Hà Nội, P. Thanh Xuân Bắc Quận Thanh Xuân Hà Nội",08:00,21:30,18.000đ ,50.000,['https://images.foody.vn/res/g106/1056238/prof/s576x330/file_restaurant_photo_n0qy_16179-f5a934fe-210409142847.jpeg'],['8.9'],['9.7'],['9.7'],['8.9'],['9.8'],24,1,1,0,9.4,Tiệm 1992 - Foods & 
1140,1140,6469fb83b1064f9440f70568,https://www.foody.vn/ha-noi/kfc-iph-xuan-thuy/binh-luan-17086167,"Gà Rán KFC - IPH Xuân Thủy ở Quận Cầu Giấy, Hà Nội | Bình luận - Ok | Mạnh Vũ Đức | Foody.vn","  Tầng 1, IPH, 239 Xuân Thủy, P. Dịch Vọng Hậu 
                                    ",09:00,22:00,50.000đ ,110.000,['https://images.foody.vn/res/g1/6203/prof/s576x330/image-8a6c43d2-220812160707.jpg'],['6.7'],['6.9'],['7.1'],['6.7'],['7.5'],3,64,27,5,7.0,Gà Rán KFC - IPH Xuâ
1141,1141,6469fb83b1064f9440f70569,https://www.foody.vn/ha-noi/the-alley-tra-sua-dai-loan-thai-ha/binh-luan-13185436,"The Alley - Trà Sữa Đài Loan - Thái Hà ở Quận Đống Đa, Hà Nội | Bình luận - Đồ uống rất ngon và bắt mắt | thanh nam Nguyễn | Foody.vn","200 Thái Hà, P. Trung Liệt Quận Đống Đa Hà Nội",07:00,23:00,41.000đ ,70.000,['https://images.foody.vn/res/g77/763303/prof/s576x330/foody-upload-api-foody-mobile-foody-upload-api-foo-190624100610.jpg'],['6.0'],['6.5'],['7.0'],['6.4'],['7.1'],8,34,8,18,6.6,The Alley - Trà Sữa 
1142,1142,6469fb83b1064f9440f7056a,https://www.foody.vn/ha-noi/leetee-tea-juice-nguyen-phong-sac/binh-luan-7044506,"Trà Sữa LeeTee - Nguyễn Phong Sắc ở Quận Cầu Giấy, Hà Nội | Bình luận - Thiếu topping | Tramy2309 | Foody.vn","63 Nguyễn Phong Sắc, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",08:00,23:00,20.000đ ,55.000,['https://images.foody.vn/res/g77/762718/prof/s576x330/foody-upload-api-foody-mobile-foody-upload-api-foo-190624113541.jpg'],['5.9'],['6.3'],['7.1'],['6.1'],['7.6'],5,12,3,11,6.6,Trà Sữa LeeTee - Ngu
1143,1143,6469fb83b1064f9440f7056b,https://www.foody.vn/ha-noi/phuc-long-iph-cau-giay/binh-luan-16950900,"Phúc Long IPH - Cầu Giấy ở Quận Cầu Giấy, Hà Nội | Bình luận - Phúc Long IPH - Cầu Giấy | kkndd | Foody.vn","IPH Xuân Thủy, 239 Xuân Thủy, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",08:00,22:00,30.000đ ,70.000,['https://images.foody.vn/res/g81/805136/prof/s576x330/image-bf217e9b-221229114113.jpg'],['6.5'],['6.9'],['7.1'],['6.8'],['7.1'],21,80,8,32,6.9,Phúc Long IPH - Cầu 
1146,1146,6469fb83b1064f9440f7056e,https://www.foody.vn/ha-noi/lotteria-royal-city/binh-luan-3707392,"Lotteria - Royal City ở Quận Thanh Xuân, Hà Nội | Bình luận - Thái độ kém | Lan Trần | Foody.vn","  B2 Royal City, 72A Nguyễn Trãi 
                                    ",10:00,21:00,50.000đ ,200.000,['https://images.foody.vn/res/g9/85925/prof/s576x330/image-fd26d1e7-210614103002.jpeg'],['6.7'],['7.0'],['7.0'],['6.7'],['7.1'],2,44,23,4,6.9,Lotteria - Royal Cit
1147,1147,6469fb83b1064f9440f7056f,https://www.foody.vn/ha-noi/banh-mi-que-phap-trung-tu/binh-luan-1009161,"Bánh Mì Que Pháp - Trung Tự ở Quận Đống Đa, Hà Nội | Bình luận - BMQ - Bánh Mì Que Pháp | Anh Cass | Foody.vn",112B4 Trung Tự Quận Đống Đa Hà Nội,06:00,19:00,10.000đ ,17.000,['https://images.foody.vn/res/g26/253823/prof/s576x330/beauty-upload-api-image-200812153803.jpeg'],['6.0'],['7.0'],['7.5'],['7.0'],['8.5'],0,2,0,0,7.2,Bánh Mì Que Pháp - T
1149,1149,6469fb83b1064f9440f70571,https://www.foody.vn/ha-noi/highlands-coffee-indochina-ha-noi/binh-luan-17401438,"Highlands Coffee - Indochina ở Quận Cầu Giấy, Hà Nội | Bình luận - Highlands Coffee - Indochina | Phong Trần | Foody.vn","Tầng 1, TTTM Indochina, 241 Xuân Thuỷ, P.Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",08:00,23:00,9.000đ ,65.000,['https://images.foody.vn/res/g1/6580/prof/s576x330/image-95cc96bb-230414161236.jpg'],['6.9'],['7.5'],['7.6'],['7.1'],['7.8'],6,115,29,6,7.4,Highlands Coffee - I
1151,1151,6469fb83b1064f9440f70573,https://www.foody.vn/ha-noi/yihetang-tea-coffee-my-dinh/binh-luan-17005978,"YiHeTang - Đệ Nhất Trà Sữa Nướng - Mỹ Đình ở Quận Nam Từ Liêm, Hà Nội | Bình luận - YiHeTang - Đệ Nhất Trà Sữa Nướng - Mỹ Đình | Quang Nguyễn Trọng | ","Đơn Nguyên 4 KTX Mỹ Đình, Nguyễn Cơ Thạch Quận Nam Từ Liêm Hà Nội",09:00,23:00,30.000đ ,80.000,['https://images.foody.vn/res/g93/928180/prof/s576x330/foody-upload-api-foody-mobile-ca-c825d0e1-230518074240.jpg'],['8.1'],['8.3'],['8.4'],['8.3'],['8.4'],13,7,2,2,8.3,YiHeTang - Đệ Nhất T
1152,1152,6469fb83b1064f9440f70574,https://www.foody.vn/ha-noi/tous-les-jours-iph/binh-luan-10309340,"TOUS les JOURS - IPH ở Quận Cầu Giấy, Hà Nội | Bình luận - TOUS Les JOURS | Yến Nhi Vương | Foody.vn","  Tầng 1, IPH, 239 Xuân Thủy, P. Dịch Vọng Hậu 
                                    ",08:30,21:00,15.000đ ,550.000,['https://images.foody.vn/res/g2/15087/prof/s576x330/image-d35a8df0-210409141455.jpeg'],['6.8'],['7.8'],['7.9'],['7.4'],['8.1'],22,191,30,8,7.6,TOUS les JOURS - IPH
1156,1156,6469fb83b1064f9440f70578,https://www.foody.vn/ha-noi/lotteria-keangnam/binh-luan-6193270,"Lotteria - KeangNam ở Quận Nam Từ Liêm, Hà Nội | Bình luận - Nhân viên phục vụ coi thường khách | foodee_a6206f60 | Foody.vn","  Tầng 8, Keangnam Landmark, 72 Phạm Hùng 
                                    ",08:30,21:30,30.000đ ,88.000,['https://images.foody.vn/res/g4/35889/prof/s576x330/image-f88ba650-210614103000.jpeg'],['6.4'],['7.2'],['7.2'],['7.1'],['7.2'],0,14,5,2,7.1,Lotteria - KeangNam 
1157,1157,6469fb83b1064f9440f70579,https://www.foody.vn/ha-noi/banh-mi-269/binh-luan-3234501,"Bánh Mì 269 ở Quận Thanh Xuân, Hà Nội | Bình luận - Bánh mì ở đây ăn khá ngon | Lan Nhi | Foody.vn",108A Khương Trung (Đối Diện 269 Khương Trung) Quận Thanh Xuân Hà Nội,06:15,22:00,10.000đ ,30.000,['https://images.foody.vn/res/g97/963336/prof/s576x330/foody-upload-api-foody-mobile-avar28-190930152110.jpg'],['8.0'],['9.0'],['10.0'],['9.0'],['10.0'],1,0,0,0,9.2,Bánh Mì 269 ở Quận T
1158,1158,6469fb83b1064f9440f7057a,https://www.foody.vn/ha-noi/lotteria-pham-ngoc-thach/binh-luan-14816372,"Lotteria - Phạm Ngọc Thạch ở Quận Đống Đa, Hà Nội | Bình luận - Lotteria -*** | Dao Tan Nghia | Foody.vn",17 - 19 Xã Đàn Quận Đống Đa Hà Nội,07:30,22:30,50.000đ ,100.000,['https://images.foody.vn/res/g2/18675/prof/s576x330/image-e5bb761a-210614102956.jpeg'],['6.8'],['6.9'],['7.4'],['6.8'],['7.8'],12,121,44,13,7.1,Lotteria - Phạm Ngọc
1159,1159,6469fb83b1064f9440f7057b,https://www.foody.vn/ha-noi/zom-foody-do-an-chay-online/binh-luan-3358601,"Zôm Foody - Đồ Ăn Chay Online ở Quận Ba Đình, Hà Nội | Bình luận - Buồn | mimibi | Foody.vn",58/32 Phúc Xá Quận Ba Đình Hà Nội,07:30,22:00,15.000đ ,25.000,['https://images.foody.vn/res/g90/892526/prof/s576x330/foody-upload-api-foody-mobile-avar38-190409114401.jpg'],['6.9'],['7.4'],['7.5'],['7.4'],['7.6'],4,2,0,2,7.4,Zôm Foody - Đồ Ăn Ch
1178,1178,6469fb83b1064f9440f7058e,https://www.foody.vn/ha-noi/tous-les-jours-hoang-dao-thuy/binh-luan-8200343,"TOUS les JOURS - Hoàng Đạo Thúy ở Quận Cầu Giấy, Hà Nội | Bình luận - Tous Les Jours | Yến Nhi Vương | Foody.vn","24T1B KĐT Trung Hoà - Nhân Chính, Hoàng Đạo Thúy, P. Trung Hòa Quận Cầu Giấy Hà Nội",08:30,21:00,15.000đ ,550.000,['https://images.foody.vn/res/g96/951431/prof/s576x330/image-6b3e1cde-210409141456.jpeg'],['6.0'],['6.3'],['7.3'],['6.3'],['7.5'],0,2,1,1,6.7,TOUS les JOURS - Hoà
1179,1179,6469fb83b1064f9440f7058f,https://www.foody.vn/ha-noi/it-cream-bakery-xuan-thuy,"Tiệm Bánh IT - Xuân Thủy ở Quận Cầu Giấy, Hà Nội | Foody.vn","167 Xuân Thủy, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",07:00,22:30,20.000đ ,300.000,['https://images.foody.vn/res/g75/744393/prof/s576x330/foody-upload-api-foody-mobile-it-jpg-180524165421.jpg'],['6.3'],['6.3'],['6.7'],['6.3'],['7.0'],0,4,0,2,6.5,Tiệm Bánh IT - Xuân 
1181,1181,6469fb83b1064f9440f70591,https://www.foody.vn/ha-noi/tous-les-jours-tran-duy-hung/binh-luan-12053558,"TOUS les JOURS - Trần Duy Hưng ở Quận Cầu Giấy, Hà Nội | Bình luận - Nhân viên tình, đáng yêu cực kỳ | LeTuAnh512 | Foody.vn","25C Trần Duy Hưng, P. Trung Hòa Quận Cầu Giấy Hà Nội",08:30,21:30,15.000đ ,550.000,['https://images.foody.vn/res/g102/1013575/prof/s576x330/image-a438db5e-210409141458.jpeg'],['7.7'],['8.3'],['8.3'],['8.0'],['8.7'],1,2,0,0,8.2,TOUS les JOURS - Trầ
1195,1195,6469fb83b1064f9440f7059f,https://www.foody.vn/ha-noi/paris-baguette-vincom-metropolis/binh-luan-16399227,"Paris Baguette - Vincom Metropolis ở Quận Ba Đình, Hà Nội | Bình luận - nhân viên tệ | Minh Tu | Foody.vn","B1-K4, Vincom Center Metropolis, 29 Liễu Giai, P. Ngọc Khánh Quận Ba Đình Hà Nội",09:00,22:00,100.000đ ,300.000,['https://images.foody.vn/res/g88/873440/prof/s576x330/file_restaurant_photo_4l0g_16450-4057bfdf-220217161949.jpg'],['6.2'],['6.8'],['7.0'],['6.8'],['7.2'],0,4,1,1,6.8,Paris Baguette - Vin
1207,1207,6469fb83b1064f9440f705ab,https://www.foody.vn/ha-noi/paris-baguette-thanh-nien/binh-luan-15391566,"Paris Baguette - West Lake ở Quận Tây Hồ, Hà Nội | Bình luận - Nhân viên nice | Tuyet Anh | Foody.vn","28 Thanh Niên, P. Yên Phụ Quận Tây Hồ Hà Nội",08:00,23:00,20.000đ ,50.000,['https://images.foody.vn/res/g94/931152/prof/s576x330/file_restaurant_photo_mmr5_16450-a315227a-220217162006.jpg'],['6.3'],['7.1'],['7.3'],['7.1'],['8.1'],1,10,2,2,7.2,Paris Baguette - Wes
